date,risk_score,band,predicted_range,range_source,realised_range,error,abs_error_pct,scheduled,unscheduled
2026-09-10,64,HIGH,156.5,"GVZ 27.79 (implied, 1 s.d.)",125.2,31.3,25.0,42,45
2026-09-11,93,EXTREME,157.1,"GVZ 28.48 (implied, 1 s.d.)",111.9,45.2,40.4,73,45
2026-09-15,45,MODERATE,145.0,"GVZ 26.54 (implied, 1 s.d.)",56.6,88.4,156.2,7,42
2026-09-16,98,EXTREME,147.9,"GVZ 26.9 (implied, 1 s.d.)",139.8,8.1,5.8,81,45
2026-09-17,56,HIGH,144.7,"GVZ 26.55 (implied, 1 s.d.)",126.5,18.2,14.4,28,45
2026-09-23,41,MODERATE,129.0,"GVZ 23.38 (implied, 1 s.d.)",96.8,32.2,33.3,28,36
2026-09-24,31,MODERATE,124.1,"GVZ 22.77 (implied, 1 s.d.)",59.7,64.4,107.9,28,22
